item_id,item_type,item_name,brightness,contrast,body,sharpness,aftertaste
1,coffee,ブレックファーストブレンド,0.6,0.4,0.4,0.5,0.4
2,coffee,スターバックス ライトノート,0.7,0.4,0.3,0.6,0.4
3,coffee,フレンチロースト,0.2,0.6,0.8,0.4,0.8
4,coffee,ケニア,0.7,0.7,0.4,0.7,0.6
5,coffee,サイレンブレンド,0.5,0.5,0.6,0.5,0.6
6,coffee,パイクプレイスロースト,0.4,0.4,0.5,0.4,0.5
7,coffee,グアテマラ アンティグア,0.5,0.6,0.6,0.5,0.6
8,coffee,ハウスブレンド,0.4,0.5,0.5,0.4,0.5
9,coffee,コロンビア,0.5,0.4,0.5,0.4,0.5
10,coffee,イタリアンロースト,0.2,0.6,0.8,0.5,0.8
11,coffee,TOKYOロースト,0.3,0.5,0.7,0.4,0.7
12,coffee,エスプレッソロースト,0.2,0.7,0.8,0.6,0.8
13,coffee,スマトラ,0.3,0.6,0.7,0.4,0.7
14,coffee,コモドドラゴンブレンド,0.4,0.6,0.7,0.5,0.7
15,coffee,カフェベロナ,0.3,0.6,0.7,0.4,0.7
101,food,ニューヨークチーズケーキ,0.3,0.6,0.8,0.3,0.8
102,food,チョコレートタルト,0.2,0.7,0.8,0.4,0.7
103,food,オレンジケーキ,0.6,0.5,0.4,0.5,0.4
104,food,濃厚抹茶ティラミス,0.3,0.6,0.7,0.3,0.7
105,food,シュガードーナツ,0.5,0.3,0.5,0.4,0.4
106,food,チョコチャンクスコーン,0.4,0.6,0.6,0.5,0.6
107,food,シナモンロール,0.3,0.5,0.7,0.3,0.7
108,food,アーモンドフロランタン,0.4,0.6,0.6,0.6,0.7
109,food,あらびきソーセージパイ,0.3,0.6,0.7,0.5,0.6
110,food,根菜チキンサラダラップ,0.5,0.4,0.4,0.5,0.4
111,food,キーマカレーホットトルティーヤ,0.3,0.7,0.7,0.6,0.6
112,food,ハム＆マリボーチーズ石窯フィローネ,0.4,0.5,0.6,0.4,0.5
113,food,バウムクーヘン,0.4,0.4,0.6,0.3,0.6
114,food,ポテトチップス シーソルト,0.6,0.7,0.3,0.8,0.3
115,food,ヨーグルト＆バナナグラノーラ,0.6,0.4,0.4,0.4,0.4
